,State,TotalArea,LandArea,WaterArea,Density,Pop,n_races,Race Density,Winter Races,Spring Races,Summer Races,Fall Races,Winter Density,Spring Density,Summer Density,Fall Density
0,AL,52420,50645,1775,96.7173,4898246,19.0,0.00037516043044723074,8.0,7.0,0.0,4.0,0.00015796228650409716,0.00013821700069108501,0.0,7.898114325204858e-05
1,AK,665384,570641,94743,1.2893,735720,10.0,1.7524152663408343e-05,3.0,1.0,5.0,1.0,5.257245799022503e-06,1.7524152663408343e-06,8.762076331704172e-06,1.7524152663408343e-06
2,AZ,113990,113594,396,64.0445,7275070,41.0,0.0003609345564026269,16.0,13.0,6.0,6.0,0.00014085250981565927,0.00011444266422522316,5.281969118087223e-05,5.281969118087223e-05
3,AR,53179,52035,1143,58.1611,3026412,7.0,0.000134524839050639,3.0,2.0,1.0,1.0,5.7653502450273856e-05,3.843566830018257e-05,1.9217834150091284e-05,1.9217834150091284e-05
4,CA,163696,155779,7916,255.1516,39747267,166.0,0.00106561218135949,58.0,53.0,24.0,31.0,0.0003723223284268098,0.0003402255759762227,0.00015406441176281783,0.0001989998651936397
5,CO,104094,103642,452,55.6777,5770545,45.0,0.0004341869126415932,3.0,14.0,21.0,7.0,2.894579417610621e-05,0.00013508037282182898,0.00020262055923274348,6.754018641091449e-05
6,CT,5543,4842,701,736.8589,3567871,14.0,0.0028913672036348617,2.0,6.0,1.0,5.0,0.0004130524576621231,0.0012391573729863693,0.00020652622883106156,0.0010326311441553077
7,DE,2489,1949,540,500.2735,975033,2.0,0.001026167265264238,1.0,1.0,0.0,0.0,0.000513083632632119,0.000513083632632119,0.0,0.0
8,DC,68,61,7,11665.0984,711571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,FL,65758,53625,12133,403.6579,21646155,35.0,0.0006526806526806527,17.0,11.0,2.0,5.0,0.000317016317016317,0.00020512820512820512,3.7296037296037295e-05,9.324009324009324e-05
10,GA,59425,57513,1912,184.78900000000002,10627767,69.0,0.0011997287569766835,24.0,22.0,11.0,12.0,0.00041729695894841167,0.00038252221236937734,0.00019126110618468867,0.00020864847947420583
11,HI,10932,6423,4509,220.5494,1416589,1.0,0.00015569048731122528,1.0,0.0,0.0,0.0,0.00015569048731122528,0.0,0.0,0.0
12,ID,83569,82643,926,21.6616,1790182,24.0,0.00029040572099270356,8.0,5.0,8.0,3.0,9.680190699756785e-05,6.050119187347991e-05,9.680190699756785e-05,3.6300715124087946e-05
13,IL,57914,55519,2395,228.7574,12700381,13.0,0.00023415407338028422,3.0,6.0,1.0,3.0,5.4035555395450205e-05,0.00010807111079090041,1.8011851798483403e-05,5.4035555395450205e-05
14,IN,36420,35826,593,187.5346,6718616,5.0,0.00013956344554234354,2.0,3.0,0.0,0.0,5.582537821693742e-05,8.373806732540613e-05,0.0,0.0
15,IA,56273,55857,416,56.7162,3167997,5.0,8.951429543298065e-05,1.0,2.0,0.0,2.0,1.790285908659613e-05,3.580571817319226e-05,0.0,3.580571817319226e-05
16,KS,82278,81759,520,35.6038,2910931,20.0,0.00024462138724788707,6.0,7.0,3.0,4.0,7.338641617436612e-05,8.561748553676047e-05,3.669320808718306e-05,4.892427744957742e-05
17,KY,40408,39486,921,113.5604,4484047,11.0,0.00027857974978473386,3.0,5.0,0.0,3.0,7.59762953958365e-05,0.00012662715899306083,0.0,7.59762953958365e-05
18,LA,52378,43204,9174,107.6887,4652581,11.0,0.0002546060549949079,6.0,2.0,0.0,3.0,0.00013887602999722247,4.629200999907416e-05,0.0,6.943801499861123e-05
19,ME,35380,30843,4537,43.5138,1342097,3.0,9.726680284019065e-05,0.0,1.0,0.0,2.0,0.0,3.242226761339688e-05,0.0,6.484453522679376e-05
20,MD,12406,9707,2699,624.5923,6062917,22.0,0.0022664056866179044,4.0,9.0,2.0,7.0,0.00041207376120325537,0.0009271659627073246,0.00020603688060162769,0.000721129082105697
21,MA,10554,7800,2754,889.6632,6939373,17.0,0.0021794871794871794,4.0,5.0,6.0,2.0,0.0005128205128205128,0.000641025641025641,0.0007692307692307692,0.0002564102564102564
22,MI,96714,56539,40175,177.2312,10020472,13.0,0.00022992978298165868,2.0,3.0,3.0,5.0,3.537381276640903e-05,5.306071914961354e-05,5.306071914961354e-05,8.843453191602257e-05
23,MN,86936,79627,7309,71.0302,5655925,20.0,0.00025117108518467356,9.0,3.0,3.0,5.0,0.00011302698833310309,3.767566277770103e-05,3.767566277770103e-05,6.279277129616839e-05
24,MS,48432,46923,1509,63.6766,2987895,5.0,0.00010655755173369137,2.0,3.0,0.0,0.0,4.262302069347655e-05,6.393453104021481e-05,0.0,0.0
25,MO,69707,68742,965,89.4338,6147861,20.0,0.0002909429460882721,5.0,8.0,4.0,3.0,7.273573652206803e-05,0.00011637717843530883,5.818858921765442e-05,4.3641441913240814e-05
26,MT,147040,145546,1494,7.3828,1074532,3.0,2.061204017973699e-05,0.0,0.0,3.0,0.0,0.0,0.0,2.061204017973699e-05,0.0
27,NE,77348,76824,524,25.2645,1940919,1.0,1.3016765594085182e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3016765594085182e-05
28,NV,110572,109781,791,28.1198,3087025,24.0,0.00021861706488372304,6.0,6.0,6.0,6.0,5.465426622093076e-05,5.465426622093076e-05,5.465426622093076e-05,5.465426622093076e-05
29,NH,9349,8953,397,152.3346,1363852,8.0,0.0008935552328828326,0.0,3.0,1.0,4.0,0.0,0.0003350832123310622,0.00011169440411035407,0.0004467776164414163
30,NJ,8723,7354,1368,1213.2917,8922547,12.0,0.0016317650258362796,5.0,3.0,2.0,2.0,0.0006799020940984499,0.0004079412564590699,0.0002719608376393799,0.0002719608376393799
31,NM,121590,121298,292,17.28,2096034,9.0,7.419743112005144e-05,2.0,3.0,2.0,2.0,1.6488318026678097e-05,2.4732477040017148e-05,1.6488318026678097e-05,1.6488318026678097e-05
32,NY,54555,47126,7429,413.6005,19491339,25.0,0.0005304927216398591,4.0,8.0,9.0,4.0,8.487883546237746e-05,0.00016975767092475492,0.0001909773797903493,8.487883546237746e-05
33,NC,53819,48618,5201,215.9229,10497741,40.0,0.000822740548767946,19.0,9.0,6.0,6.0,0.00039080176066477436,0.00018511662347278786,0.0001234110823151919,0.0001234110823151919
34,ND,70698,69001,1698,11.0274,760900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,OH,44826,40861,3965,286.791,11718568,18.0,0.000440517853209662,3.0,10.0,2.0,3.0,7.341964220161034e-05,0.00024473214067203446,4.894642813440689e-05,7.341964220161034e-05
36,OK,69899,68595,1304,57.5691,3948950,4.0,5.831328814053503e-05,2.0,1.0,1.0,0.0,2.9156644070267514e-05,1.4578322035133757e-05,1.4578322035133757e-05,0.0
37,OR,98379,95988,2391,44.2337,4245901,39.0,0.0004063007875984498,5.0,11.0,11.0,12.0,5.208984456390382e-05,0.00011459765804058841,0.00011459765804058841,0.00012501562695336918
38,PA,46054,44743,1312,286.3905,12813969,29.0,0.0006481460787162238,3.0,10.0,8.0,8.0,6.704959434995418e-05,0.0002234986478331806,0.00017879891826654449,0.00017879891826654449
39,RI,1545,1034,511,1021.9903,1056738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,SC,32020,30061,1960,171.2222,5147111,29.0,0.0009647050996307508,15.0,8.0,2.0,4.0,0.0004989853963607332,0.00026612554472572436,6.653138618143109e-05,0.00013306277236286218
41,SD,77116,75811,1305,11.7744,892631,2.0,2.6381395839653875e-05,0.0,0.0,2.0,0.0,0.0,0.0,2.6381395839653875e-05,0.0
42,TN,42144,41235,909,165.72799999999998,6833793,32.0,0.0007760397720383169,11.0,8.0,3.0,10.0,0.00026676367163817145,0.00019400994300957923,7.275372862859222e-05,0.00024251242876197404
43,TX,268596,261232,7365,111.3457,29087070,26.0,9.952838855882894e-05,12.0,10.0,1.0,3.0,4.593617933484412e-05,3.828014944570344e-05,3.828014944570343e-06,1.148404483371103e-05
44,UT,84897,82170,2727,39.2066,3221610,41.0,0.0004989655592065231,6.0,11.0,14.0,10.0,7.301935012778386e-05,0.00013386880856760375,0.0001703784836314957,0.00012169891687963977
45,VT,9616,9217,400,68.046,627180,9.0,0.000976456547683628,0.0,3.0,4.0,2.0,0.0,0.00032548551589454267,0.00043398068785939026,0.00021699034392969513
46,VA,42775,39490,3285,217.0662,8571946,37.0,0.0009369460622942517,6.0,16.0,6.0,9.0,0.00015193719929095973,0.00040516586477589263,0.00015193719929095973,0.0002279057989364396
47,WA,71298,66456,4842,115.3597,7666343,88.0,0.0013241844227759722,34.0,22.0,20.0,12.0,0.0005116167087998074,0.00033104610569399304,0.00030095100517635727,0.00018057060310581438
48,WV,24230,24038,192,74.5466,1791951,3.0,0.00012480239620600716,0.0,2.0,1.0,0.0,0.0,8.320159747067144e-05,4.160079873533572e-05,0.0
49,WI,65496,54158,11339,107.6971,5832661,15.0,0.00027696739170574985,1.0,6.0,7.0,1.0,1.8464492780383324e-05,0.00011078695668229994,0.00012925144946268326,1.8464492780383324e-05
50,WY,97813,97093,720,5.8952,572381,7.0,7.209582565169477e-05,1.0,1.0,4.0,1.0,1.0299403664527823e-05,1.0299403664527823e-05,4.119761465811129e-05,1.0299403664527823e-05
